ID,Tweet,emo
76,✨this✨ #quotes #quote #yoga #travel #fun #fitness #detox #love #cleanse #peace #peaceful #simple… https://t.co/57PDNOpUdZ,peace_relax
77,"RT @JackRoseReal: What is happening in 2016, more sad news RIP Victoria Wood https://t.co/SLdYiCULr0 #sad #rip",sadness_depression
78,This makes me #happy. goodcharlotteband #40ozdreams https://t.co/Bp8uhOQYo7,joy_2
79,#musicnotes #Angry bull up: You will dominate your bull and you will direct it whatever you want it to do. When y https://t.co/UXmP0EnKfj,anger_2
80,4th grader wins the school's contest by reciting #pi to more than 80 digits! #Impressive,confidence_impress
81,Anyone can meditate. Everyone should. But it all starts with you! Sign up 4 meditation. https://t.co/yXkeIDUDM5 #piece4peace #peaceful,peace_relax
82,Bring back @bhogleharsha. @2016_VivoIPL is not the same without him. #sad #hero,sadness_depression
83,RT @MissCCorr: Really positive conversations with parents and future BTec/GCSE music students tonight at @Bedford_Academy year 8 parents ev…,exciting_2
84,#SanBernardino #Angry gorilla simulator: You need to do to adapt to the environment. The need to tear the city. M https://t.co/m5XvpL6jco,anger_2
85,#Happy Kurt Sutter Saturday!   Lucas Stand to be released in June! Another Kurt Sutter adventure. https://t.co/aaNPdRaJVm,joy_2
86,@sherrilee7 it's about @HillaryClinton winning and @BernieSanders losing. #GraspingAtStraws #Desperate #BerntOut #ImWithHer #Hillary2016,sadness_depression
87,"Speaking of May my birthday is the 3rd, plus Log Horizon season 2 dubbed comes on the 31st!  #excited",exciting_2
88,Rich colours #bwbpp #SAD https://t.co/HzdMxnfwP3,sadness_depression
89,If you come up as a customer GET OFF YOUR PHONE!! I will not serve you #frustrated 😡,disgust_frustration
90,I am so easily excited. Right now I'm excited because my sweatpants have pockets. #excited #pockets,exciting_2
91,#CITIZENSOFHUMANITY Men100% Cotton Size 34W x 29L #Distressed Blue #Jeans #Relaxed https://t.co/7PI5GxMusM via @eBay https://t.co/tkHZGzsezb,peace_relax
92,RT @MirandaSajdak: Celebrate reaching our first goal over at https://t.co/eCSffE3hck! #Excited #IndieFilm,exciting_2
93,RT @NewsBreaksLive: #Angry and frustrated upstate #NewYork swings behind #Trump https://t.co/g8mYS7h0O1,anger_2
94,One last exam ...one last day and then it all comes to an end ... 3 years of college ends up tommorow #Sad,sadness_depression
95,"#sanfordstadium Wow #Bulldogs. Over capacity 100,000 plus crowd for a #springgame ? #impressed #football #georgia b… https://t.co/nCpNojbGv3",confidence_impress
96,@magicfm no ABBA today? #disappointed,disappoint_2
97,RT @HTPunjab: #Gangster Goru Bachcha’s photos with #SAD leader surface on social media https://t.co/x0WlCWhFhu https://t.co/Du9FsutyGF,sadness_depression
98,"I bought some wafer thin ham from @Tesco, It doesn't look wafer thin to me. #disappointing https://t.co/zL5y5VRfBU",disappoint_2
99,RT @AdamBeckey: Today sees @TenMillLane kick off there @cardiffcw with a joint @TDCCDF event for #becherovka! #YouAreWelcome #excited,exciting_2
100,@PoliceMedics today showed a list of Police medic adv skills to my USAR firefighter team - they want to be where u are! #impressed,confidence_impress
101,♪~Im just a sweet transvestite~♪ #aesthetic #vaporwave #art #arthoe #sad #sadboy… https://t.co/ug7bWpalWo,sadness_depression
102,Doing research #amwriting #peaceful #jersey #meadowlands https://t.co/TxAiEwZ4An,peace_relax
103,PLAY⛽️ #play #why #today #nakazakicho #nice #love #vsco #pic #lol #happy #style #followme #f4f… https://t.co/BVeiqmiZxO,joy_2
104,I love being a county kid #peaceful https://t.co/f5pxE8jD0g,peace_relax
105,RT @larrabee_kyle: Getting remodel ready at 853!! #remodel #IR #excited @angel_yanke @LauraYesitis @MaeBugarin1 @TheWolf916 https://t.co/xF…,exciting_2
106,RT @burkelyduffield: Week 2 begins and already shooting some BIG stuff...be ready #EXCITED #🙌🏻 #Beyondupdate #staytuned @BeyondTVSeries htt…,exciting_2
107,#happy birthday varun dhawan https://t.co/d4RK2wXcxh,joy_2
108,Today was OK my father got pissed off at me #angry,anger_2
109,today at ShenyangㅡKorea Brand &amp. Entertainment Expo 2016 #RedVelvet #Joy #레드벨벳 #조이 (photo by Newsen) https://t.co/NLmhJmnrdB,joy_2
110,"Why were we Created? - Why do we exist?, What is life?: https://t.co/HpFDqLyLF2 #lost #confused #depressed #f1 #god #books #death",sadness_depression
111,We are cool studs #redcarpet #excited https://t.co/nnYrE7l6gv,exciting_2
112,RT @SGadiLondon: #Divine #Peaceful darshan from #KingsburyMandir today #Hindolo #LordSwaminarayan #EcoTemple https://t.co/Qtv2FYJuRR,peace_relax
113,RT @CaribbeanInfo: Life just Keeps getting better: https://t.co/gkejM64sbN via @MzKatieCassidy #peaceful #stbarths https://t.co/6fM5Xpzv9z…,peace_relax
114,by essencesimone: Chicago weather be like 🙌🏾 #chitecture #chicago #spring #happy #skyporn #skyline https://t.co/xnNwiuiZzI,joy_2
115,@scottaitchy mate it brings tears to my eyes .... Sort of looks like the Sydney opera house ... #disappointed,disappoint_2
116,RT @ManeKalyani: Earthquake again :-( .. Hope evry1 is safe .. #Sad,sadness_depression
117,"Thankyou, Kobe 😢😭😂 #MambaDay #Farewell #60pts #sad https://t.co/SUlHUDJA92",sadness_depression
118,#Happy Earth Day🌹🌷🍀 https://t.co/J8I8cGEwFc,joy_2
119,I officially hate thermodynamics  #frustrated,disgust_frustration
120,and it begins... #NatSCA2016 #Excited https://t.co/pV8sLnvVYv,exciting_2
121,Nothing like ending the day with a movie and a healthy meal! #peaceful #thepeacechain #salads #movienight #peace https://t.co/fueKZuYTBL,peace_relax
122,RT @NewsBreaksLive: #Angry and frustrated upstate #NewYork swings behind #Trump https://t.co/g8mYS7h0O1,anger_2
123,So freakin' #excited!! It's my 27th #Birthday and my #amazing hubby @aj_masters has planned a… https://t.co/OaSZ5BgLNF,exciting_2
124,Me rn #emoji #work #mood #sad #angry #lonely #hopless #bored #stressed #dying #post #idontcare… https://t.co/1BLnTUv1lJ,anger_2
125,RT @NewsBreaksLive: #Angry and frustrated upstate #NewYork swings behind #Trump https://t.co/g8mYS7h0O1,anger_2
126,Next Wednesday is going to be a very exciting Doctor Who-y day. #Excited #TwitterTease #WhatAnArsehole,exciting_2
127,Be happy for this moment. This moment is ur life #quotes #moments #inspiration #happy #life https://t.co/3ndV01yQEB https://t.co/cAzDoO5m2V,joy_2
128,More activitiiieesss for tooddaaayyyy!!!! 👍😀👌👏🌞☁🌴🌅 #Excited #Exploreboracay 🌞🌻,exciting_2
129,I am thankful for warm running water. #thankful #positive #happy  https://t.co/nOqU0Slxbj https://t.co/jxZpM87VCw,joy_2
130,"RT @iammatthinkley: Hey HS Coach! (not sure why this is still a prevalent convo) - distance running is not """"getting rid of lactic acid"""" or…",sadness_depression
131,Found a home for my new jade and Buddha. #home #zen #jade #buddah #peaceful #mytemple… https://t.co/xLVdmcdnVy,peace_relax
132,"RT @JackRoseReal: What is happening in 2016, more sad news RIP Victoria Wood https://t.co/SLdYiCULr0 #sad #rip",sadness_depression
133,@NeffAppliances new #neff hood visor doesn't fold back on our new hood. Springs don't appear to compress so pops unit out #disappointed,disappoint_2
134,"#PTI minority #MPA gunned down in Buner, #SWAT.#SoranSingh was special assistant to chief minister KP on minorities...#Sad",sadness_depression
135,WHATS THIS THEN SLUT 💁🏻✨🍒 #demilovato #coolforthesummer #confident #demi #gif #whats #this #then… https://t.co/oeoMr22D05,confidence_impress
136,A #caravan of curiosity #wyevalleyriverfestival #behind-the-scenes #deanwye #excited 29April-15MayHereford -Chepstow https://t.co/u81pHoIm24,exciting_2
137,Just don't understand how girls with big bellies are so comfortable wearing crop tops to the college campus #bold #confident,confidence_impress
138,Loving it here 🏝🏖💜 #peaceful #beach #vacation #PuertoRico https://t.co/alvVRHqzCi,peace_relax
139,4th grader wins contest by reciting #pi to more than 80 digits! #Impressive,confidence_impress
140,RT @KBSWorldTV: Is that true that the last episode of Descendants of the sun will be on air tonight? #Sad #SongHyekyo #KangMoyeon https://t…,sadness_depression
141,only 26 more days until @justin555554 and I go to @WaltDisneyWorld 😍😍👑💖 #disney #excited,exciting_2
142,RT @BlueCrossTorbay: 3 days to go! Please share our poster #oddicombedogday #excited https://t.co/Re5atRFTJd,exciting_2
143,Thanks Steve...  #Humor #Peaceful night to all 🌠 https://t.co/KSziBMObiu,peace_relax
144,@GreigTheEgg_ you're well good at skimming stones #impressed,confidence_impress
145,"On a scale of 1-10, 10 the happiest, how happy are you feeling today? # happy # goodday #badday #excited #terrible",exciting_2
146,Saturdaynight  @AppLetstag #kiss #love #me #happy #smile #girl #couple #followme #mylove #lovely #photo #best #red … https://t.co/kfbMN5QrAD,joy_2
147,Old #Brewery In #Istanbul #Transformed #Into An #Urban #Relaxed #Restaurant https://t.co/hPJZOLbbK2 #architecture,peace_relax
148,RT @Sad_angel81: This is how I feel many times. #lovetomuch #gethurt #sad #heart https://t.co/dMKhHcR7KB,sadness_depression
149,Some bosses haven't a clue how to run a #buisness Half of them couldn't run a bath #angry and #grumpy,anger_2
150,LonelyCurlyAngel - makeup routine: #nasty #slut #happy #hot #xxx #naughty #horny #sexy #snapshot #kinky #nude ... https://t.co/bDUZWxMkt1,joy_2
151,RT @acornfabrics: What's your perfect #Sunday style? #Smart #Casual #Relaxed #Shirts https://t.co/FpxPuRHPT1,peace_relax
152,Let every pavement be your catwalk! https://t.co/jFsHrLywWB #custom #confident https://t.co/LgPGRHePbR,confidence_impress
153,Mood......#relaxed #vibes #outdoors #puppy #shitzuh #goodgirl #messyhairdontcare https://t.co/YHscVVWgaj,peace_relax
154,I'm not stuck-up but I am very #confident in myself.,confidence_impress
155,"#octranspo, why is taking the bus SO unreliable. 6 just doesn't show up. K. Remind me why these passes are so expensive?! #disappointed",disappoint_2
156,@TrevacyOutdoors @feel_reel  @RealSaltLife @WildwoodResort @hookeze @CoolerSalt @drophookapp  @StubbornHicksOD #Peaceful Still water 🎣,peace_relax
157,"@thenation   Here I didn't think THE NATION, the Liberal bastion of integrity would print lies, I was wrong. #Disappointing",disappoint_2
158,Check out one of the photos for my album :) #excited #playing the game https://t.co/oXYuv1MWcf,exciting_2
159,Can't wait to save up money so I can travel the world #Goals #Dream #Confident #Holidays #TravelTheWorld 👌🏼🌍✈️✈️,confidence_impress
160,The roof is gonna come off when @2manydjsTour hit the @ClubFreeze warehouse at #SoundCity16 #excited https://t.co/4ZJX2Dbkdy,exciting_2
161,10 more days! 😍 #dexterthedoxie #excited #puppy https://t.co/RVfbz2Cv6H,exciting_2
162,RT @JackRoseReal: I am really looking forward to my photoshoot next week with @lusardiofficial gonna be a great #photoshoot #jackrose #exci…,exciting_2
163,RT @NewsBreaksLive: #Angry and frustrated upstate #NewYork swings behind #Trump... https://t.co/Ape0QJuTr4,anger_2
164,"Silly """"Manchas"""" 😎😂 #dog #dogsofinstagram #dogs #doglover #dogstagram #cabo #iphone #happy … https://t.co/EL706fqxMm https://t.co/0URzHiapfY",joy_2
165,RT @GizelleBryant: I'm in Richmond tomorrow! 2PM at Southern Shows #Excited Come Meet Me! @swsrichmond #RVA https://t.co/jeVg92EWgZ,exciting_2
166,#DISGUSTED that @DanielleMonaro was LAUGHING &amp. talking to @brendonurie on @ElvisDuranShow last Mon. after he sang GODDAMN. #Christian #asif,disgust_frustration
167,. @champneys hey do you guys check your feed for valid customer queries. My last one completely ignored. #disappointing,disappoint_2
168,#DeadlyPossessions was a really lame episode. #disappointed @Zak_Bagans @GhostAdventures #notscary,disappoint_2
169,Last years #clippers #game #staplescenter #excited for the opportunity to play before the… https://t.co/jMs5RT4jBl,exciting_2
170,"""Today is #GermanBeerDay, celebrating 500 years of #Reinheitsgebot!",
171,I have work at 7.... #lol #callingout #depressed #cantsleep #helpme,sadness_depression
172,"Haha, #happy cat! https://t.co/jRt5jqgR4B",joy_2
173,I simply can't watch @espn anymore. Once was the best but due to 24hr need has become just another pack of idiot talking heads. #sad #ESPN,sadness_depression
174,#beach #instagram Wild child.   #inshot #girls #cute #summer #blur #sun #happy #fun #dog #hair #beach #hot #cool #fashion #friends #...,joy_2
175,"Disappointed in my @NandosUK - avocado hard and black, little salad in pitta #disappointing https://t.co/MwwpTO2EAV",disappoint_2
176,RT @buell003: #DemocracySpring Activist Arrested for #Peaceful #FreedomOfExpression: https://t.co/16y89unYXD cc: @NoraGuadalajar1 @OLAASM @…,peace_relax
177,RT @CaribbeanInfo: Life just Keeps getting better: https://t.co/gkejM64sbN via @MzKatieCassidy #peaceful #stbarths https://t.co/6fM5Xpzv9z…,peace_relax
178,RT @jennviw: It's raining in Winnipeg. #sad #CurlyHairProbs,sadness_depression
179,RT @BlkHistStudies: The world will be shedding some purple tears in honor of #Prince who has transitioned to the ancestral realm. #Sad http…,sadness_depression
180,Young King's Dedicated Pt.2🍁  #Canon #Canon5D #Children #Happy #Beauty #Toronto #SDA #Ghana… https://t.co/FZZxzSl27k,joy_2
181,Really need to find myself a job !!!! #desperate  #jobless #placement_walo_se_panga #Marketing #mba,sadness_depression
182,RT @SandownEvents: Not only are we preparing for @LordCPSnow Show but the bet365 Jump Finale too! Chris is #excited #foreverchristmas https…,exciting_2
183,20days left until fantasy Basel 😍 #excited ❤,exciting_2
184,@LogansRoadhouse  Trying to enjoy family meal Sunday and behind our youngest there is this plus more. #disappointing https://t.co/umxHIJpjVH,disappoint_2
185,"Studied for 5 yrs,passed the board and then mag housekeepung ra diay?? #disappointing 😤😡😡",disappoint_2
186,elliss91: Best t - shirt of ever 😍 #me #happy #marvel #dc #superheroes #supernerd #inlove #ironman #hulk #thor #cap… https://t.co/qTKIUDRDKT,joy_2
187,"Let Us Embrace The Dawning Of This Beautiful Sunday, &amp. In Doing So, Let's Look Forward To The #Joy &amp. #Love This Day  Will Bring. ღ",joy_2
188,@kristen_pol I'll look and add it to my schedule. #excited,exciting_2
189,RT @iqrarulhassan: We don't expect from a member of National Assembly and a Fedral Minister to go this low... #sad #shameful https://t.co/o…,sadness_depression
190,"Trying new things, staying in my lane, and living my life. #jesussaves #joy #peace",joy_2
191,Happy - Texas A&amp.M University Libraries https://t.co/XSxeJLTO4h #MotivationalMonday Get #Happy,joy_2
192,Safely home. Words can't describe the OVERPOWERING mildew smell on the beltway in between 290 &amp. I-10!!! #gross #houstonflood #Houston #sad,sadness_depression
193,I've said it before &amp. I'm clearly not the only one: @FloTrack provide watchable feeds or give us our money back! @TheMtSACRelays #frustrated,disgust_frustration
194,Use Lavender Essential Oils for your next aromatherapy session and feel #refreshed #soothed #relaxed. Order online. https://t.co/q5cZ7q4ZS3,peace_relax
195,Lovely day @TheValeResort with the hubby. Cracking massage off Clare #relaxed @nickytom number 5 ☺️,peace_relax
196,"RT @tiffanystar0511: Can't wait for tomorrow with my fiance, my lovebug &amp. my best friend @Marissaaa_ann this is gonna be lots of fun and in…",exciting_2
197,Entrepreneurs Roundtable Accelerator Demo Day 2016. Thank you for the opportunity! #startup #venturecapital #tech #nyc #impressive #intense…,confidence_impress
198,Super sunny lunch @GrainStoreKX today. Good choice of #glutenfree dishes and v good gluten awareness  #impressed https://t.co/nUEvOb0t6m,confidence_impress
199,RT @Photogrphy4Life: #Sad woman with her #grandson from #Jaisalmer! #child #depression #emotion #helpness #pain #sorrow #kreative #nikon ht…,sadness_depression
200,what's wrong with being confident? 💪 #confident #confiante #confiança #happy #me #blessed #abençoada #like #likes #… https://t.co/4NnZxFITKl,confidence_impress
201,@RocketLeague keeps #desyncing eventhough my #ping is fine. HOW DO I STOP THIS NUISANCE?! &gt.:(  #angry #noob #rocketleague #lag,anger_2
202,At the spa with my mom and sister 😁💜  #massage #lifedayspa #hotstonemassage #relaxed https://t.co/axhQcmGdfb,peace_relax
203,Starting work on Thursday! I'm super excited and super nervous! #startingwork #excited #nervous,exciting_2
204,This afternoon I am going to learn how to disappear from a box @SpaceVixens #magic #excited #secrets,exciting_2
205,Ordered our Wedding Rings Yesterday... So Excited !!! 💍😁💍😁💕💕💕💕💕 #excited #weddingday… https://t.co/J2yprFu7lS,exciting_2
206,My sons 👶👦😊 #brothers #family #love #siblings #happy #lovethem #boys #myboys #bros #sons… https://t.co/7MK02Ivb5H,joy_2
207,Is @BTBusiness remotely competent at providing their broadband service? #frustrated #poorchoice,disgust_frustration
208,@rotherhamtiser I do hope you're covering the outstanding performance of the year......? @BramleyJunior #excited  https://t.co/HuSzsgUK4k,exciting_2
209,4th grader recites #pi to more than 80 digits! #Impressive,confidence_impress
210,Surrounded by songbirds on my little street in #Berkeley this morning. #Peaceful #Grateful https://t.co/whwaEY5EAw,peace_relax
211,Miss @jemimakirke  I was floored by your visceral fight performance in #GirlsHBO! It felt so real. #Impressive,confidence_impress
212,"Ended my shift sitting with a 14 yr old just released from custody awaiting social care.Spoke about  future,sure we'll see her again #sad",sadness_depression
213,Mega movies 2006 - #Happy #Bangaram #Stallin #Annavaram  Mega movies 2016 - #SardaarGabbarSingh already debacle remaining movies lets see,joy_2
214,"Not sleeping at 2:00am.  Body, what's going on???  #isittheheat #frustrated",disgust_frustration
215,Lovely sunrise on our first sea day. The crossing is underway! #Peaceful https://t.co/z5reWL5168,peace_relax
216,RT @JackRoseReal: I am really looking forward to my photoshoot next week with @lusardiofficial gonna be a great #photoshoot #jackrose #exci…,exciting_2
217,#pink #tulips #square #joy #beautifulday by doliice https://t.co/Oz2YIEhzmD https://t.co/6fAVh6YD5D,joy_2
218,RT @whatlauraloves: Feeling #confident &amp. beautiful in my new @ScarlettandJo #plussize dress. Full review on WLL: https://t.co/fBXD3wJDwC ht…,confidence_impress
219,RT @RunawayHelpline: You may feel like you need to run away if you're feeling #angry or out of control https://t.co/S69Ar8bWrY #116000 http…,anger_2
220,Tranquil hues of silver and blue 🌊  #peaceful #beachvibes #blue #waves #ocean #Jahlove #tr… https://t.co/xiurPFJPmz https://t.co/7qjHbKKLKB,peace_relax
221,#halloweenparty #Angry bull up: You will dominate your bull and you will direct it whatever you want it to do. Wh https://t.co/weVJznSXUJ,anger_2
222,Great day at Mtn. View MBC today! We had first time guest and many returning guest. God is doing great things within our church. #excited,exciting_2
223,@JenMasseau Hi! We definitely don't want you to be #hangry &amp. #sad! DM us and we'll send you a full list!,sadness_depression
224,RT @obyezeks: The series of grating actions of @NGRSenate is not helped by the fact that it almost now seems like a Retirement Home of Ex-G…,sadness_depression
225,"#RT Mental Sauna Music- a bubble bath for your mind #Amazon #iTunes #Relax, #Sleep #Insomnia #Yoga #Peaceful #Zen #Meditation #Travel #Study",peace_relax
